10	0
3.91653	-6.48904
10.7591	-12.9039
9.29326	-14.4674
10.9419	-16.0131
10.5888	-16.3898
10.986	-16.7622
10.9009	-16.853
10.9966	-16.9427
10.9761	-16.9646
10.9992	-16.9862
10.9942	-16.9915
10.9998	-16.9967
10.9986	-16.9979
11	-16.9992
10.9997	-16.9995
11	-16.9998
10.9999	-16.9999
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
11	-17
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
-nan	-nan
